datetime,date,frame_id,track_id,body_length_px,body_length_cm,pose_conf,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w,bbox_h,bbox_area,center_x,center_y,frame_w,frame_h,head_x,head_y,tail_x,tail_y,head_tail_dx,head_tail_dy,flipped,growth_roi,save_reason
2026-05-24 18:15:30,2026-05-24,4572,50,80.48453521728516,,0.7960363626480103,368.37469482421875,555.0709838867188,515.884521484375,661.1812133789062,147.50982666015625,106.1102294921875,15652.301559261978,442.1296081542969,608.1260986328125,1280,720,512.2431640625,618.6148681640625,432.22052001953125,610.0045776367188,80.02264404296875,8.61029052734375,False,"(300, 180, 1000, 650)",ok
2026-05-24 18:16:39,2026-05-24,5139,50,94.30535125732422,,0.7310876846313477,333.917236328125,155.93162536621094,433.7840576171875,237.0756072998047,99.8668212890625,81.14398193359375,8103.591542445123,383.85064697265625,196.5036163330078,1280,720,490.0478820800781,135.74603271484375,399.7498474121094,162.94464111328125,90.29803466796875,27.1986083984375,False,"(300, 180, 1000, 650)",ok
2026-05-24 18:20:03,2026-05-24,6795,57,92.297607421875,,0.8638917803764343,673.1296997070312,151.0217742919922,797.5361938476562,250.25865173339844,124.406494140625,99.23687744140625,12345.712011948228,735.3329467773438,200.6402130126953,1280,720,652.8792724609375,204.19305419921875,745.112548828125,200.74771118164062,92.2332763671875,3.445343017578125,False,"(300, 180, 1000, 650)",ok
2026-05-24 18:20:08,2026-05-24,6836,57,94.22172546386719,,0.8688234686851501,477.6380310058594,153.55032348632812,605.011474609375,264.2037353515625,127.37344360351562,110.65341186523438,14094.306115753017,541.3247680664062,208.8770294189453,1280,720,469.5971374511719,160.1465301513672,554.771484375,200.43380737304688,85.17434692382812,40.28727722167969,False,"(300, 180, 1000, 650)",ok
2026-05-24 18:25:53,2026-05-24,9648,61,80.83634948730469,,0.8435046076774597,658.68115234375,570.5938720703125,797.6268310546875,672.757568359375,138.9456787109375,102.1636962890625,14195.204120501876,728.1539916992188,621.6757202148438,1280,720,787.0250854492188,611.36328125,706.7421875,620.8063354492188,80.28289794921875,9.44305419921875,False,"(300, 180, 1000, 650)",ok
2026-05-24 18:26:03,2026-05-24,9732,61,89.02037048339844,,0.7579109072685242,676.5458984375,586.1741943359375,822.5921630859375,693.390869140625,146.0462646484375,107.2166748046875,15658.594863250852,749.5690307617188,639.7825317382812,1280,720,814.4544677734375,658.4569702148438,725.6715087890625,651.9598388671875,88.782958984375,6.49713134765625,False,"(300, 180, 1000, 650)",ok
2026-05-24 18:26:08,2026-05-24,9773,61,94.56214904785156,,0.7746292352676392,671.9607543945312,595.924560546875,820.9826049804688,696.055419921875,149.0218505859375,100.130859375,14921.68596482277,746.4716796875,645.989990234375,1280,720,812.3221435546875,648.9534301757812,722.893798828125,679.6873168945312,89.4283447265625,30.73388671875,False,"(300, 180, 1000, 650)",ok
2026-05-24 18:26:13,2026-05-24,9814,61,90.23060607910156,,0.7374557852745056,677.8781127929688,598.688720703125,825.7330932617188,695.220703125,147.85498046875,96.531982421875,14272.734375596046,751.8056030273438,646.9547119140625,1280,720,810.832763671875,647.742431640625,721.268310546875,658.6864013671875,89.564453125,10.9439697265625,False,"(300, 180, 1000, 650)",ok
2026-05-24 18:26:18,2026-05-24,9855,61,94.38800811767578,,0.7480944991111755,677.5227661132812,596.0033569335938,827.1868286132812,695.3168334960938,149.6640625,99.3134765625,14863.658363342285,752.3547973632812,645.6600952148438,1280,720,812.3370971679688,659.7039184570312,721.2396240234375,684.4091186523438,91.09747314453125,24.7052001953125,False,"(300, 180, 1000, 650)",ok
2026-05-24 18:26:23,2026-05-24,9896,61,88.58647918701172,,0.6896722316741943,678.1778564453125,596.1106567382812,827.1490478515625,695.4818725585938,148.97119140625,99.3712158203125,14803.448412239552,752.6634521484375,645.7962646484375,1280,720,811.2780151367188,648.458984375,723.5025634765625,660.418701171875,87.77545166015625,11.959716796875,False,"(300, 180, 1000, 650)",ok
