frame_id,track_id,pose_conf,pose_direction,flipped,body_length_px,head_x,head_y,dorsal_x,dorsal_y,tail_x,tail_y,belly_x,belly_y
0,1,0.539439857006073,left_down,0,23.041006088256836,1000.818603515625,576.083984375,1007.2160034179688,556.3744506835938,1003.5397338867188,553.2042236328125,1008.8056030273438,568.1510620117188
1,1,0.539439857006073,left_down,0,23.041000366210938,1000.818603515625,576.083984375,1007.216064453125,556.3744506835938,1003.5396728515625,553.2042236328125,1008.8056640625,568.1510620117188
2,1,0.539439857006073,left_down,0,23.041000366210938,1000.818603515625,576.083984375,1007.216064453125,556.3744506835938,1003.5396728515625,553.2042236328125,1008.8056640625,568.1510620117188
3,1,0.539439857006073,left_down,0,23.041000366210938,1000.818603515625,576.083984375,1007.216064453125,556.3744506835938,1003.5396728515625,553.2042236328125,1008.8056640625,568.1510620117188
4,1,0.539439857006073,left_down,0,23.041000366210938,1000.818603515625,576.083984375,1007.216064453125,556.3744506835938,1003.5396728515625,553.2042236328125,1008.8056640625,568.1510620117188
5,1,0.7954666614532471,left_down,0,29.87382698059082,996.3934326171875,591.9581298828125,1004.6392211914062,571.7843017578125,1009.9212646484375,565.32275390625,1009.4559326171875,583.5720825195312
6,1,0.7954666614532471,left_down,0,36.0734748840332,993.2958374023438,603.0700073242188,1002.83544921875,582.5712280273438,1014.388427734375,573.8057250976562,1009.9111328125,594.3667602539062
7,1,0.7954666614532471,left_down,0,40.78982162475586,991.1275024414062,610.8482666015625,1001.5728149414062,590.1220703125,1017.515380859375,579.7437744140625,1010.2298583984375,601.9230346679688
8,1,0.7954666614532471,left_down,0,44.21498107910156,989.6096801757812,616.2930908203125,1000.68896484375,595.4076538085938,1019.7042236328125,583.9004516601562,1010.452880859375,607.2124633789062
9,1,0.7954666614532471,left_down,0,46.65944290161133,988.5471801757812,620.1044921875,1000.0702514648438,599.1075439453125,1021.2364501953125,586.8101196289062,1010.6090087890625,610.9150390625
10,1,0.26815855503082275,left_down,0,41.716644287109375,992.0467529296875,622.894775390625,1001.6099853515625,601.7826538085938,1018.583740234375,590.706787109375,1009.4155883789062,613.6156005859375
11,1,0.26815855503082275,left_down,0,38.483760833740234,994.4964599609375,624.8479614257812,1002.687744140625,603.6552124023438,1016.7268676757812,593.4344482421875,1008.5802001953125,615.5059814453125
12,1,0.26815855503082275,left_down,0,36.36330032348633,996.211181640625,626.2151489257812,1003.4422607421875,604.9660034179688,1015.4270629882812,595.3438110351562,1007.9954223632812,616.8292236328125
13,1,0.26815855503082275,left_down,0,34.962215423583984,997.4114990234375,627.1721801757812,1003.9703369140625,605.883544921875,1014.5172119140625,596.6803588867188,1007.5861206054688,617.7554931640625
14,1,0.26815855503082275,left_down,0,34.027523040771484,998.251708984375,627.8421020507812,1004.340087890625,606.5258178710938,1013.8803100585938,597.615966796875,1007.2996215820312,618.4039306640625
15,1,0.6128901839256287,left_down,0,29.723112106323242,1008.5709228515625,631.352294921875,1009.7384033203125,609.988037109375,1010.0465087890625,601.6658325195312,1009.3074951171875,622.454833984375
